epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS
7,0.13001197537581125,0.9651833333333333,0.9548,0.9629,0.9548,128,softmax,0.01,0.25,30,3,32000,20
8,0.12048981664180755,0.96785,0.9593,0.9653,0.9593,128,softmax,0.01,0.25,30,3,32000,20
9,0.11275486288070678,0.9702333333333333,0.9604,0.9669,0.9604,128,softmax,0.01,0.25,30,3,32000,20
10,0.10662097789446513,0.9724,0.9604,0.9665,0.9604,128,softmax,0.01,0.25,30,3,32000,20
11,0.10165831691424052,0.97425,0.9649,0.968,0.9649,128,softmax,0.01,0.25,30,3,32000,20
12,0.09697610486745835,0.9756666666666667,0.9646,0.9683,0.9646,128,softmax,0.01,0.25,30,3,32000,20
13,0.09307015796502431,0.9766,0.965,0.9692,0.965,128,softmax,0.01,0.25,30,3,32000,20
14,0.08974905969699223,0.9775666666666667,0.9656,0.9704,0.9656,128,softmax,0.01,0.25,30,3,32000,20
15,0.08690734129349391,0.97845,0.9651,0.9708,0.9651,128,softmax,0.01,0.25,30,3,32000,20
1,1.9799780937512717,0.3333333333333333,0.7346,0.8201,0.7346,128,softmax,0.01,0.25,30,8,32000,20
2,0.51517785820961,0.8624333333333334,0.8425,0.8959,0.8425,128,softmax,0.01,0.25,30,8,32000,20
3,0.3451810656070709,0.9033,0.8301,0.9194,0.8301,128,softmax,0.01,0.25,30,8,32000,20
4,0.28531800483862557,0.9199166666666667,0.8487,0.9299,0.8487,128,softmax,0.01,0.25,30,8,32000,20
5,0.24499636168479919,0.93195,0.8936,0.9407,0.8936,128,softmax,0.01,0.25,30,8,32000,20
1,0.4511665326118469,0.8776833333333334,0.9157,0.923,0.9157,128,softmax,0.01,0.25,30,3,32000,20
2,0.2559366666873296,0.9287333333333333,0.9114,0.9363,0.9114,128,softmax,0.01,0.25,30,3,32000,20
3,0.22684250966707867,0.9369166666666666,0.9294,0.9398,0.9294,128,softmax,0.01,0.25,30,3,32000,20
4,0.21453556133906046,0.94105,0.9392,0.9431,0.9392,128,softmax,0.01,0.25,30,3,32000,20
5,0.20464092225233713,0.9448666666666666,0.9338,0.9441,0.9338,128,softmax,0.01,0.25,30,3,32000,20
6,0.1996476246913274,0.9457833333333333,0.9387,0.9457,0.9387,128,softmax,0.01,0.25,30,3,32000,20
7,0.19558449059327443,0.9477,0.9439,0.9451,0.9439,128,softmax,0.01,0.25,30,3,32000,20
8,0.1919569966316223,0.9473166666666667,0.9448,0.9455,0.9448,128,softmax,0.01,0.25,30,3,32000,20
9,0.19109865642388663,0.94825,0.9432,0.9463,0.9432,128,softmax,0.01,0.25,30,3,32000,20
1,0.5311536863327027,0.8466666666666667,0.9367,0.9406,0.9367,128,sparsemax,0.01,0.25,30,8,32000,20
2,0.18345014152526856,0.9494333333333334,0.9567,0.9568,0.9567,128,sparsemax,0.01,0.25,30,8,32000,20
3,0.14182416662375133,0.96095,0.9622,0.9624,0.9622,128,sparsemax,0.01,0.25,30,8,32000,20
4,0.12226230752070745,0.9670666666666666,0.9619,0.9661,0.9619,128,sparsemax,0.01,0.25,30,8,32000,20
5,0.11038093466361364,0.9709666666666666,0.9644,0.9672,0.9644,128,sparsemax,0.01,0.25,30,8,32000,20
6,0.10257708889842033,0.9734666666666667,0.9675,0.9703,0.9675,128,sparsemax,0.01,0.25,30,8,32000,20
7,0.09815221018791198,0.9752,0.9646,0.9677,0.9646,128,sparsemax,0.01,0.25,30,8,32000,20
8,0.0942249388774236,0.9766333333333334,0.965,0.9688,0.965,128,sparsemax,0.01,0.25,30,8,32000,20
1,0.7541870288848876,0.8041666666666667,0.9052,0.9048,0.9052,128,sparsemax,0.01,0.25,30,8,8000,20
2,0.40735788192749023,0.9014166666666666,0.9093,0.9098,0.9093,128,sparsemax,0.01,0.25,30,8,8000,20
3,0.39401652795473735,0.9045833333333333,0.9118,0.9117,0.9118,128,sparsemax,0.01,0.25,30,8,8000,20
4,0.39085058646202087,0.9055333333333333,0.9119,0.9113,0.9119,128,sparsemax,0.01,0.25,30,8,8000,20
5,0.38947096152305605,0.9069,0.9112,0.9121,0.9112,128,sparsemax,0.01,0.25,30,8,8000,20
6,0.38880672658284504,0.9063,0.9127,0.9112,0.9127,128,sparsemax,0.01,0.25,30,8,8000,20
1,0.7614140121301015,0.8047666666666666,0.9018,0.9009,0.9018,128,softmax,0.01,0.25,30,8,8000,20
2,0.40934441177050274,0.90215,0.9063,0.9075,0.9063,128,softmax,0.01,0.25,30,8,8000,20
3,0.39530064237912493,0.9054666666666666,0.9083,0.9101,0.9083,128,softmax,0.01,0.25,30,8,8000,20
4,0.391923141447703,0.9061833333333333,0.9091,0.9107,0.9091,128,softmax,0.01,0.25,30,8,8000,20
5,0.39044162842432656,0.9070333333333334,0.9079,0.9104,0.9079,128,softmax,0.01,0.25,30,8,8000,20
6,0.3898411559263865,0.9079833333333334,0.9092,0.9117,0.9092,128,softmax,0.01,0.25,30,8,8000,20
7,0.3894976510842641,0.9072833333333333,0.9088,0.9114,0.9088,128,softmax,0.01,0.25,30,8,8000,20
8,0.38917045539220174,0.9072,0.9077,0.9101,0.9077,128,softmax,0.01,0.25,30,8,8000,20
1,0.46543478039105735,0.8720666666666667,0.9215,0.9248,0.9215,128,sparsemax,0.01,0.25,30,3,32000,20
2,0.2600014616012573,0.92715,0.9302,0.9368,0.9302,128,sparsemax,0.01,0.25,30,3,32000,20
3,0.22949952577749888,0.9363166666666667,0.9339,0.9411,0.9339,128,sparsemax,0.01,0.25,30,3,32000,20
4,0.21534214329719542,0.9419,0.9315,0.9385,0.9315,128,sparsemax,0.01,0.25,30,3,32000,20
5,0.2067213431596756,0.94355,0.9426,0.9438,0.9426,128,sparsemax,0.01,0.25,30,3,32000,20
6,0.20072214992046356,0.9457833333333333,0.9466,0.9466,0.9466,128,sparsemax,0.01,0.25,30,3,32000,20
7,0.19641208820343017,0.9471666666666667,0.9378,0.9456,0.9378,128,sparsemax,0.01,0.25,30,3,32000,20
8,0.19379069871902466,0.9474666666666667,0.9346,0.9455,0.9346,128,sparsemax,0.01,0.25,30,3,32000,20
9,0.19138365110556285,0.94805,0.9375,0.9456,0.9375,128,sparsemax,0.01,0.25,30,3,32000,20
10,0.189877876051267,0.94895,0.9351,0.9452,0.9351,128,sparsemax,0.01,0.25,30,3,32000,20
11,0.18866736565430958,0.9491666666666667,0.9433,0.9484,0.9433,128,sparsemax,0.01,0.25,30,3,32000,20
12,0.18751622565587361,0.9502833333333334,0.9398,0.9489,0.9398,128,sparsemax,0.01,0.25,30,3,32000,20
1,0.406063148911794,0.8855,0.9028,0.9349,0.9028,128,s,0.01,0.25,30,3,50000,20
2,0.2257875258286794,0.9352333333333334,0.9254,0.9469,0.9254,128,s,0.01,0.25,30,3,50000,20
3,0.1927746451218923,0.9448333333333333,0.9325,0.9482,0.9325,128,s,0.01,0.25,30,3,50000,20
4,0.17377398564020793,0.9507166666666667,0.9454,0.9513,0.9454,128,s,0.01,0.25,30,3,50000,20
5,0.16449819384813308,0.9541833333333334,0.9489,0.9555,0.9489,128,s,0.01,0.25,30,3,50000,20
6,0.15584606782595317,0.9561666666666667,0.9432,0.9544,0.9432,128,s,0.01,0.25,30,3,50000,20
7,0.151233600238959,0.9575333333333333,0.9517,0.9571,0.9517,128,s,0.01,0.25,30,3,50000,20
