epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS
11,2.2186867472076415,0.49264,0.417,0.4433,0.417,128,softmax,0.01,0.25,100,6,18000,20
1,1.4802885256195069,0.51336,0.4208,0.4682,0.4208,128,softmax,0.01,0.25,100,6,18000,20
2,1.3845680364227295,0.53574,0.4113,0.4709,0.4113,128,softmax,0.01,0.25,100,6,18000,20
3,1.3443798264694213,0.54594,0.4138,0.4723,0.4138,128,softmax,0.01,0.25,100,6,18000,20
4,1.3209581679153442,0.55392,0.4081,0.4722,0.4081,128,softmax,0.01,0.25,100,6,18000,20
5,1.3029686044311524,0.56128,0.4118,0.4725,0.4118,128,softmax,0.01,0.25,100,6,18000,20
6,1.2804890101242066,0.56814,0.4076,0.4719,0.4076,128,softmax,0.01,0.25,100,6,18000,20
7,1.3482753246307373,0.5665,0.4021,0.4768,0.4021,128,softmax,0.01,0.25,100,6,18000,20
1,4.57521223777771,0.49906,0.4247,0.4511,0.4247,128,softmax,0.01,0.25,100,6,18000,20
2,2.037101953430176,0.51856,0.4304,0.4549,0.4304,128,softmax,0.01,0.25,100,6,18000,20
3,1.8629492402267456,0.52254,0.4258,0.4531,0.4258,128,softmax,0.01,0.25,100,6,18000,20
4,1.7842394229507446,0.52526,0.4209,0.4515,0.4209,128,softmax,0.01,0.25,100,6,18000,20
5,1.7330180541229248,0.52818,0.4255,0.4538,0.4255,128,softmax,0.01,0.25,100,6,18000,20
6,1.7046186403656005,0.5296,0.4241,0.4546,0.4241,128,softmax,0.01,0.25,100,6,18000,20
7,1.718530352935791,0.52932,0.4265,0.4493,0.4265,128,softmax,0.01,0.25,100,6,18000,20
8,1.6782454985809325,0.53082,0.4294,0.4521,0.4294,128,softmax,0.01,0.25,100,6,18000,20
1,91.70591461669922,0.4052,0.4121,0.3786,0.4121,128,softmax,0.01,0.25,100,6,18000,20
2,58.14694005279541,0.40852,0.4214,0.3886,0.4214,128,softmax,0.01,0.25,100,6,18000,20
3,80.04760415367126,0.41334,0.423,0.4,0.423,128,softmax,0.01,0.25,100,6,18000,20
4,31.142750967407228,0.41784,0.4229,0.3918,0.4229,128,softmax,0.01,0.25,100,6,18000,20
5,23.031519031982423,0.42034,0.4264,0.3984,0.4264,128,softmax,0.01,0.25,100,6,18000,20
6,23.413934240722657,0.4196,0.4276,0.4017,0.4276,128,softmax,0.01,0.25,100,6,18000,20
7,14.324951134643555,0.42448,0.4365,0.4013,0.4365,128,softmax,0.01,0.25,100,6,18000,20
8,16.020254319152833,0.42684,0.4283,0.4018,0.4283,128,softmax,0.01,0.25,100,6,18000,20
9,15.012558304977418,0.42794,0.4276,0.4057,0.4276,128,softmax,0.01,0.25,100,6,18000,20
10,11.170397020874024,0.43156,0.4307,0.4008,0.4307,128,softmax,0.01,0.25,100,6,18000,20
11,10.788866626586914,0.4335,0.4274,0.4098,0.4274,128,softmax,0.01,0.25,100,6,18000,20
12,8.195582649841308,0.43386,0.4337,0.4132,0.4337,128,softmax,0.01,0.25,100,6,18000,20
13,9.351741431350709,0.4364,0.4335,0.4155,0.4335,128,softmax,0.01,0.25,100,6,18000,20
14,9.040787312660218,0.43644,0.4333,0.4159,0.4333,128,softmax,0.01,0.25,100,6,18000,20
15,6.60031511390686,0.43952,0.4327,0.4123,0.4327,128,softmax,0.01,0.25,100,6,18000,20
16,6.3110755348205565,0.44392,0.436,0.4089,0.436,128,softmax,0.01,0.25,100,6,18000,20
17,4.877705875930786,0.4436,0.4373,0.4099,0.4373,128,softmax,0.01,0.25,100,6,18000,20
18,6.76768467956543,0.44462,0.4432,0.4174,0.4432,128,softmax,0.01,0.25,100,6,18000,20
19,5.180435341796875,0.4468,0.4391,0.4184,0.4391,128,softmax,0.01,0.25,100,6,18000,20
20,4.975384561920166,0.44624,0.4356,0.4163,0.4356,128,softmax,0.01,0.25,100,6,18000,20
1,1.6215594261169433,0.51326,0.4365,0.4619,0.4365,128,softmax,0.01,0.25,100,6,18000,20
2,1.4901169861602783,0.52268,0.4381,0.4614,0.4381,128,softmax,0.01,0.25,100,6,18000,20
3,1.4384582341003418,0.52756,0.4369,0.4623,0.4369,128,softmax,0.01,0.25,100,6,18000,20
4,1.4123761949920655,0.53052,0.4399,0.4635,0.4399,128,softmax,0.01,0.25,100,6,18000,20
5,1.3927304584884643,0.53236,0.4444,0.4634,0.4444,128,softmax,0.01,0.25,100,6,18000,20
6,1.379036492652893,0.53584,0.4427,0.4646,0.4427,128,softmax,0.01,0.25,100,6,18000,20
7,1.3686268328094482,0.53726,0.4369,0.4615,0.4369,128,softmax,0.01,0.25,100,6,18000,20
1,8.85859255569458,0.4248,0.4414,0.3995,0.4414,128,softmax,0.01,0.25,100,6,18000,20
2,15.121541902999878,0.4261,0.4461,0.3968,0.4461,128,softmax,0.01,0.25,100,6,18000,20
3,6.161830869598389,0.4278,0.4384,0.405,0.4384,128,softmax,0.01,0.25,100,6,18000,20
4,7.280107190551758,0.42982,0.435,0.4008,0.435,128,softmax,0.01,0.25,100,6,18000,20
5,7.109618333892822,0.43124,0.4315,0.403,0.4315,128,softmax,0.01,0.25,100,6,18000,20
6,5.818000068359375,0.43296,0.4433,0.4064,0.4433,128,softmax,0.01,0.25,100,6,18000,20
7,5.661215254058838,0.43112,0.4444,0.4033,0.4444,128,softmax,0.01,0.25,100,6,18000,20
8,5.252103067703247,0.43508,0.4453,0.4076,0.4453,128,softmax,0.01,0.25,100,6,18000,20
9,4.96759835357666,0.43518,0.446,0.4108,0.446,128,softmax,0.01,0.25,100,6,18000,20
10,4.974682513427735,0.43676,0.4488,0.4094,0.4488,128,softmax,0.01,0.25,100,6,18000,20
11,4.852076372947693,0.43666,0.4462,0.4102,0.4462,128,softmax,0.01,0.25,100,6,18000,20
12,4.576261855621338,0.4413,0.4466,0.4139,0.4466,128,softmax,0.01,0.25,100,6,18000,20
13,4.572542189788819,0.44046,0.4493,0.4142,0.4493,128,softmax,0.01,0.25,100,6,18000,20
14,4.357186644210816,0.43976,0.4481,0.4144,0.4481,128,softmax,0.01,0.25,100,6,18000,20
15,4.9943734765625,0.44032,0.4474,0.4143,0.4474,128,softmax,0.01,0.25,100,6,18000,20
16,3.650941940841675,0.4425,0.4474,0.422,0.4474,128,softmax,0.01,0.25,100,6,18000,20
17,3.5485370199584962,0.44428,0.4497,0.421,0.4497,128,softmax,0.01,0.25,100,6,18000,20
1,43.963241745758054,0.10058,0.1111,0.0974,0.1111,128,gumbel_softmax,0.01,0.25,100,6,18000,20
2,23.562721627120972,0.1002,0.0928,0.0986,0.0928,128,gumbel_softmax,0.01,0.25,100,6,18000,20
3,18.465899549560547,0.099,0.0951,0.0981,0.0951,128,gumbel_softmax,0.01,0.25,100,6,18000,20
4,16.255598331375122,0.09848,0.1011,0.0941,0.1011,128,gumbel_softmax,0.01,0.25,100,6,18000,20
5,18.843686539459227,0.0989,0.0903,0.1011,0.0903,128,gumbel_softmax,0.01,0.25,100,6,18000,20
6,10.75253264755249,0.09914,0.0838,0.091,0.0838,128,gumbel_softmax,0.01,0.25,100,6,18000,20
7,13.67669628036499,0.10008,0.0924,0.0988,0.0924,128,gumbel_softmax,0.01,0.25,100,6,18000,20
1,895.079668060913,0.10052,0.0716,0.1011,0.0716,128,gumbel_softmax,0.01,0.25,100,6,18000,20
2,586.0534487414551,0.09934,0.1001,0.1025,0.1001,128,gumbel_softmax,0.01,0.25,100,6,18000,20
