epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS,CONNECTIONS
2,2.3016083057403565,0.11236666666666667,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,4,1000,20,learned
3,2.3015355968475344,0.11236666666666667,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,4,1000,20,learned
4,2.30161953086853,0.11236666666666667,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,4,1000,20,learned
5,2.301531100463867,0.11166666666666666,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,4,1000,20,learned
6,2.301586000442505,0.11236666666666667,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,4,1000,20,learned
7,2.3013741301218666,0.11181666666666666,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,4,1000,20,learned
8,2.301542082087199,0.11236666666666667,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,4,1000,20,learned
9,2.301499068069458,0.11236666666666667,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,4,1000,20,learned
1,1.769594081815084,0.38265,0.6869,0.6872,0.6869,128,softmax,0.01,0.25,30,4,1000,20,learned
2,1.171097133509318,0.7223333333333334,0.7384,0.7381,0.7384,128,softmax,0.01,0.25,30,4,1000,20,learned
3,1.1276367793401083,0.7407,0.7468,0.7466,0.7468,128,softmax,0.01,0.25,30,4,1000,20,learned
4,1.1080427606582641,0.7463833333333333,0.7499,0.7498,0.7499,128,softmax,0.01,0.25,30,4,1000,20,learned
5,1.0991456492741902,0.7473333333333333,0.752,0.7513,0.752,128,softmax,0.01,0.25,30,4,1000,20,learned
6,1.0909635786692302,0.7492333333333333,0.7525,0.7519,0.7525,128,softmax,0.01,0.25,30,4,1000,20,learned
7,1.0843901559829712,0.7494333333333333,0.7545,0.7546,0.7545,128,softmax,0.01,0.25,30,4,1000,20,learned
8,1.0802654973983765,0.7512166666666666,0.7557,0.7559,0.7557,128,softmax,0.01,0.25,30,4,1000,20,learned
9,1.0748706804275512,0.7530333333333333,0.7578,0.7576,0.7578,128,softmax,0.01,0.25,30,4,1000,20,learned
10,1.0695562754948933,0.7549833333333333,0.7598,0.7593,0.7598,128,softmax,0.01,0.25,30,4,1000,20,learned
11,1.06389167137146,0.75615,0.7599,0.761,0.7599,128,softmax,0.01,0.25,30,4,1000,20,learned
